biotipológico	tipológico
crispar-se	embabadar-se
ciente	instruído
rescrever	reescrever
socar	soquear
caramelizar	caramelar
penedos	abrolhos
dispartir	repartir
frumentício	frumentário
cavalgata	cavalgada
aluição	desabe
plausivelmente	racionalmente
desabalar	enlapar
esboçar	idear
premir	prensar
desfiguração	malformação
hanseniano	macutena
restauração	restauro
conculcador	vilipendiador
frivolidade	tolice
tratativa	trato
cristalizar-se	estratificar-se
assalariamento	pagamento
inadequabilidade	inadaptabilidade
derrear	desprezar
acomunar-se	mancomunar-se
minimizar	subestimar
apendiceado	apendiculado
feroz	sanguinolento
balofo	corpulento
estear	motivar
previgorante	previgente
arredamento	recua
aluno	estudante
âmago	bojo
contratível	contrátil
toque	viso
avelhecer	envelhecer
ciranda	crivo
forense	judicial
macacaria	momice
olheirento	olheirudo
acoitar-se	entroixar-se
compressório	compressivo
homeopático	hahnemanniano
árido	fastiento
lealmente	lhanamente
oblíquo	transversal
equalizar-se	igualizar-se
fidalgaria	nobreza
curvetear	ginetear
ripícola	marginal
inabilidade	incapacidade
fatigar	flagelar
acerbamente	amargamente
desencalhado	desingurgitado
íntegro	justo
exonerar	isentar
tanto	tão
precário	minguado
vassalo	súdito
desabado	desmoronado
oniforme	omniforme
dessepultar	exumar
afazer	avezar
certâmen	justa
impropriedade	inconveniência
falace	frustratório
estréia	inauguração
furtivo	latente
ágape	ágapa
venal	venoso
priorato	reitorado
açambarque	monopolização
sobernal	exaustão
molhadura	molha
ticuna	voorara
lucivelo	pára-luz
temer	venerar
rua	artéria
desenlaçar	desenredar
aclaramento	dilucidamento
relevar-se	sobrelevar-se
gritador	clamador
lagrimoso	lastimoso
oceâneo	pelágico
filar	pilhar
cainozóico	cenozóico
inútil	prescindível
campear	pleitear
mosqueado	sarapintado
hético	héctico
franzino	pequeno
acampamento	rancho
baldeação	transbordo
vagão-dormitório	vagão-leito
acertamento	transação
particularizar-se	singularizar-se
jalde	jalne
afroixado	largo
electrônico	eletrônico
pintalgar	tachonar
grandíloquo	pomposo
coadunar	convir
leiloamento	praça
moçalhão	mocetão
indiscutível	indisputável
arrulo	cantiga
deslize	escorregamento
jaleco	fardeta
verde-claro	verde-mar
antiinfeccioso	antiinfecioso
desvariar	esmaniar
emotividade	sensibilidade
avassalado	submetido
intuito	meta
agressão	ripada
aceleração	apressamento
extroverso	sociável
versejador	metrificador
florilégio	seleta
pirracento	pirraceiro
arrasar	carregar
trocar	variar
parasitear	sugar
deslembrança	desmemória
descavar	profundar
inquirideira	látego
ambulacro	alameda
hiacintinó	jacintino
reptador	reptante
voga	relevo
marcescível	murchecível
antegostar	prelibar
palanca	estaca
custodiar	embarricar
arrrocho	torcedor
ultimação	mate
epistólico	epistolar
sanguificativo	sanguífico
desencovar	escavar
preia	presa
enchafurdar	subverter-se
ofegar	lufar
encarvoejado	encarvoado
embabadar	franger
necear	tontear
fragalheiro	molambudo
redobro	quádruplo
acidentário	brusco
esporar	prurir
ocupar	residir
undívago	flutívago
ajoelhação	genuflexão
vascolejado	chocalhado
embelecar	entreter
vergão	vincada
infectar-se	infetar-se
rememorar-se	relembrar-se
relentar	rorejar
afeminação	efeminação
gafo	sarnento
equipamento	parafernália
caraolho	olhizaino
exemplar	tipo
onzenar	zarelhar
percussor	percutidor
reaver	recobrar
denegar	proibir
abocamento	encontro
albicante	branquicento
alóbrogo	camponês
encalhação	transtorno
erógeno	erotóforo
apostolizador	evangelizador
biqueira	goteira
desfastio	insatisfação
broslado	bordado
suceder-se	sobrevir-se
deserto	devoluto
desentocado	destocado
gandrês	gandarês
desbordar-se	desenfrear-se
desentulhar	livrar
alimento	feijão
caxingó	manco
alisar	aplainar
lusitanófobo	lusófobo
frauduloso	sub-reptício
clicar	retratar
concebimento	concepção
indigência	penúria
reconciliar	recongraçar
cognominar-se	crismar-se
lesionar-se	marcar-se
omniforme	oniforme
selecionado	seleto
içar	suspender
expetante	expectante
intemerato	puro
rancoroso	odiento
távola	tábula
embaído	engazopado
transvertido	vertido
eminente	ínclito
quimbembes	xurumbambos
eletrogerador	electrogerador
televisivo	televisual
insultado	ofendido
pedinchão	pedintão
cumprimenteiro	mesurado
suplicatório	suplicativo
refino	requinte
dizer	ferir
delibar	libar
fazenda	tecido
rogador	intercessor
afortunado	fasto
escádea	esgalho
desculto	inculto
licença	vênia
imane	imenso
dormideira	modorra
complementar-se	integralizar-se
refreado	retido
maceguento	macegoso
sopear	trilhar
dificilíssimo	dificílimo
quimão	quimono
rechaçar	vastar
atraidor	fascinador
ferido	sentido
apaular	encharcar
arrebentado	moído
florescer	vingar
escultural	escultório
digesto	entendido
enclausuramento	reclusão
introspetivo	introspectivo
efeituar-se	realizar-se
amolestar	vulnerar
dessaborido	dissaborado
educto	inferido
exemplificativo	exemplificador
puxadinho	taful
supra-sensível	supersensível
furente	irritado
doentio	enfermiço
numismático	numário
sacadela	sacada
grama	relva
esposo	homem
afobar	maranhar
estradear	mandar
sub-rogante	sub-rogatório
enervamento	exasperação
lambança	sarapatel
desatravancado	desingurgitado
vacaria	vacada
termas	caldas
imolar	sacrificar
vomitado	vômito
renovo	vergôntea
sazonar	vestir
pingar	pingotear
descautelado	imprecatado
conjeturado	pressentido
epígrafe	inscrição
desvinculação	separação
aventar	refrescar
antideslizante	antiderrapante
periodicidade	regularidade
enfastiar	fadigar
esfarinhar-se	migar-se
conjecturador	conjeturante
octogonal	octógono
expectorar	expetorar
equânimo	justo
gingo	gingada
antimariano	antidicomarianita
espaventar	sobressaltar
arrendar	enfrear
ficha	registro
afogueamento	caldeamento
lenhificar-se	lignificar-se
legislador	legislativo
estrebuchar-se	remexer-se
regadia	regadura
reabilitar-se	remir-se
inacreditável	incrível
permitido	outorgado
mercantilismo	mercantilagem
administração	direção
botrioso	racimiforme
ferro	marca
tocadura	tocadela
desabusar	desiludir
embalançar	menear
revitalizar-se	vitalizar-se
relvado	relvedo
esmaecer	extinguir-se
aquiescer	assentar
debandado	destroçado
putrificar	transfigurar
fatuidade	presunção
válido	valioso
concentrar	convergir
desprovido	escasseado
chanfalho	farrusca
difundido	difuso
camarada	condiscípulo
aético	antiético
cútis	tez
vermelhar	vermelhear
arremedo	macaqueação
desratizado	desratado
salmourão	salmoirão
atacoado	atamancado
despertar-se	reavivar-se
aparvalhar-se	desnortear-se
bonificar	laurear
destro	lesto
puxavão	repelão
fuligem	picumã
elitário	elitizante
esfuziar	vagalumear
fenecer	prontificar
díada	díade
desforço	saldo
atrofiamento	entrevecimento
multiplicar	pluralizar
boxista	pugilista
especificação	particularização
congeneridade	semelhança
cartorial	cartorário
digerível	digestível
quiromancia	quiroscopia
enterrar-se	seqüestrar-se
levantamento	motinação
advendiço	arribadiço
existência	vida
pena	sofrimento
mastigatório	masticatório
desadoração	execração
enxerido	xereta
inconsulto	irrefletido
entesoirador	tesaurizador
desfilar	processar-se
perca	prejuízo
acupuntura	acupunctura
boiçar	bouçar
folgazão	pândego
crassície	crassidade
sobpé	vertente
engalar-se	envanecer-se
bramido	rugido
inúmero	sobrenumerável
amerceamento	compadecimento
funcionalidade	funcionarismo
repercutir-se	repetir-se
demonomaníaco	demonópata
modorrar	moer
quebrantado	desvitalizado
truanaz	truão
descentralizar-se	desconcentrar-se
imparcial	neutro
cartucheira	patrona
translatício	tropológico
serpejante	serpenteante
desultraja	desultrajar
passadiço	serventia
faringiano	faríngico
adinheirado	amoedado
anarquizar-se	atumultuar-se
rastelar	restelar
dictério	ditério
predestinado	santo
delimitado	limitado
promover-se	badalar-se
rúfio	bandarra
encastelar	fortificar
levante	sedição
silvícola	selvagem
vedetismo	estrelismo
delinear-se	resplendecer
submergir-se	fundir-se
migrar	emigrar
mosquear	tachonar
seção	subdivisão
inapetência	fastio
ridiculização	zombaria
intencionar	maquinar
indelével	indestrutível
perceptível	sensível
renúncia	renunciamento
dificilmente	raramente
garotice	pequenez
helicóide	helicoidal
tubulado	tubular
deslambido	enxabido
medicinal	médico
safado	surrado
repuxado	retraído
preposto	institor
detrito	resíduo
inativo	sedentário
viveza	raposia
marcadoiro	marcadouro
apalermado	tolo
gaseificação	gasificação
avir	enlaçar
ajuntamento	amontoação
investigação	rastejo
jecorário	hepático
calmoso	caloroso
desoprimido	leve
pim-pom	pingue-pongue
indignar-se	irar-se
concupiscência	sensualismo
descoberta	detecção
titilamento	titilação
cédula	nota
adoidado	aloucado
celha	pestana
vasculho	vassouro
acidificar	azedar
zagalete	zagaleto
esperável	expectável
conspurcar-se	emborralhar-se
delinear	esboçar
revoejamento	revoejo
nubiloso	opaco
coimar	multar
tafulo	taful
protegido	tutelado
medieval	mediévico
raciocinar	refletir
nacionalístico	nacionalista
disciplina	matéria
tolerável	perpassável
lamaceira	lameiro
abrutamento	rudeza
biraia	megera
imberbe	lampinho
emasculado	evirado
aldravice	trapaça
comezinho	humilde
atolar	entontecer
aquietar-se	sossegar-se
fojo	gruta
suportável	tolerável
poetificar	versar
irradiar	lançar
aljofarar	esborrifar
pré-tipográfico	protipográfico
torcedura	torcilhão
simetria	eurritmia
procurar	requestar
recurvação	torço
acético	acre
denunciador	denunciante
descarnado	escarnado
supliciante	supliciativo
tumba	túmulo
travadoura	travicha
abecar	abotoar
suturação	sutura
atontear	azamboar
bifurcado	aforquilhado
jocosidade	risibilidade
federar	federalizar
irrecusável	irrefragável
desenrolhar	desrolhar
enlear-se	enredear-se
aurícomo	auricrinito
maldadoso	malicioso
bajulado	babujado
trilha	trilho
congelo	solidificação
observante	observador
lisboeta	ulissiponense
titular	registar
verseto	versículo
asselvajar	brutificar
enfiamento	metição
senhor	soberano
estupefato	extasiado
impotência	insensibilidade
oxidado	rubiginoso
desajudado	desamparado
poldra	potranca
chapéu-de-chuva	umbrela
decidir-se	empreender
pavonear	ufanar
opinativo	problemático
embravecimento	encrespadura
chulice	grosseria
redimível	resgatável
lamuriante	lamuriento
mictório	mijadouro
comprobação	confirmação
desengastado	descravejado
pimenteira	pimenteiro
virar-se	voltar-se
enremelado	remelão
desendemoniar	esconjurar
quantidade	vaga
desneutralizar	desanular
celestina	comadre
acitara	sobreanca
prêmio	recompensa
desbaratador	desperdiçante
amaestrar	amestrar
esbatido	suavizado
duo	dueto
estabilizante	estabilizador
sala	salão
invencioneiro	mentiroso
rosácea	rosaça
diferençar	ver
pasmaceira	patetice
acotoveladura	acotovelamento
emperrado	perro
selvageria	truculência
valia	valor
arremate	fecho
desmemoriado	esquecido
altivo	campanudo
fatigante	paulificante
sacrificante	vitimário
tentação	atiçamento
adjudicar	concatenar
atulhar	entupir
farfalhento	farfalheiro
bicho-do-mato	fera
carcerar	prear
adular	engraxar
meridional	austrino
ignificação	inflamação
primoroso	caprichoso
calafriar	calefriar
mulherio	mulherame
principiar	puxar
calhamaço	cartapácio
inculpe	inocente
empuxão	repelão
encouchar	inclinar
mundificação	santificação
quina	quinta
vergueiro	zorrague
atrôo	barulho
rescindível	resilível
coito	couto
serraria	serrania
miudeza	poucochinho
zopo	zorreiro
apepinar	tourear
temporada	quartel
escorraçado	expulso
enviado	expedido
irrecuperável	irreparável
borrascoso	tempestuoso
precingir	precintar
fabricar	imaginar
descoroçoado	frio
brilhar	sobressair
engaiolado	agaiolado
amplitude	largura
hastilhar	quebrar
escalpelo	dissetor
unha	domínio
advento	chegada
adicionação	adicionamento
romantismo	romanticismo
leitão	porquinho
suprido	apeirado
encruzilhada	cômpito
sitiar	embretar
exasperado	furibundo
alcantiloso	enfesto
direto	reto
guardear	guarnecer
coriscar	relampear
empalecer	menoscabar
concluir	deduzir
elucidar-se	instruir-se
dardejamento	lance
transfigurado	transformado
embarrigado	grávido
carnoso	carnudo
tintinábulo	campainha
ventarola	leque
feitorar	superintender
negalho	barbante
considerar-se	pretender-se
engambelar	engrambelar
iluminar-se	regozijar-se
duplicidade	falsidade
vaticino	vatídico
policiar	refrear
embestegar	encurralar
hilariância	risibilidade
imputável	atribuível
sensato	sisudo
frásico	frasal
amostra	exemplar
macamã	mocamau
empaçocar	machucar
endossado	endossatário
harmonizar	recongraçar
chã	planície
percebimento	reparação
lamurioso	queixumeiro
resolutamente	decididamente
expluir	vociferar
emoldurar	revestir
transverberar	vir
ardilosamente	manhosamente
propulsionar	propelir
irrepresentabilidade	irrepresentatividade
mobilidade	removibilidade
sabererecar	torrar
apinhado	atochado
entrever	prever
asfixiador	asfixioso
aboletado	hospedado
apertar-se	espremer-se
enlaçar-se	prender-se
parturejar	partejar
nebrina	nevoeiro
preliar	reixar
supraterrâneo	sobreterrestre
arcabouçar	riscar
despertamento	reanimação
gabar	preconizar
espertador	despertador
incoadunável	inconciliável
hebetação	hebetamento
embarricar	proteger
indicial	indiciativo
atremar	encarrilar
ás	mestre
bidentado	bidental
blandície	perfume
condigno	justo
cerceio	cerceamento
chão	manso
desamparado	retirado
desconversável	intratável
raiado	riscado
rabdomancia	rabdoscopia
devoluto	inabitado
ventanear	ventilar
gatear	rapinhar
latejar	later
desencadeador	desencadeante
adulação	prazenteio
peado	travado
cavo	côncavo
canhambola	quilombola
farinhento	farinhoso
submisso	súdito
enfincar	espetar
travador	travadoura
adivinhar	depreender
utilizar-se	valer-se
desdar	desnodar
confidencial	secreto
emparelhar-se	igualar-se
jazer	repousar
arfadura	arfagem
engasgado	entalado
guarda-vento	pára-vento
inverter	subverter
farpão	fisga
incontroversível	inquestionável
mira	objeto
arreliar-se	irritar-se
zombeirão	zombeteiro
eônico	eônio
resgatador	redimidor
dilucidamento	elucidação
máxima	provérbio
viradela	viramento
brutalilizado	brutificado
traquear	treinar
obviamente	claramente
gilete	lâmina
eirado	terreiro
acalmado	aplacado
desemburrar	morigerar
vitícola	viticultor
inquinar-se	manchar-se
reverenciado	venerado
potoquista	potoqueiro
caçoada	trote
abelhudo	metido
bancada	banca
arder	piançar
exterminar	mandar
juncar	semear
desimanizar	desmagnetizar
biselamento	chanfradura
várzea	veiga
criatura	pessoa
alparca	alpercata
exasperação	pioramento
tomadura	pisadura
distraimento	prazer
arrebito	imodéstia
autodidaxia	autodidatismo
amalgadura	amolgadura
anúncio	vaticínio
eléctron	elétron
borbulhar	pulular
merinaque	saia-balão
coruchéu	píncaro
pelejado	batalhado
encataplasmar	cataplasmar
emulsificar	emulsionar
saltarelo	saltador
unimetalismo	monometalismo
piparote	tálitre
agir	andar
vibração	animação
ramalhudo	ramudo
embotamento	hebetação
aspereza	rigidez
deslocamento	remoção
bondadoso	bondoseiro
pequenada	pirralhada
fiscela	mordaça
bolçar	regurgitar
ventilar	ventanear
compatibilizar	reunir
entocaiado	atocaiado
soporífero	tedioso
ir-e-vir	locomoção
anverso	face
reconquista	retomada
impetrativo	impetratório
carpidura	carpimento
bulir	comover
autoclave	esterilizador
imperativamente	veementemente
ferrugento	ruvinhoso
calmar-se	desencalmar-se
acêntrico	excêntrico
desfadigar	desfolegar
atropurpúreo	vermelho-escuro
funambulismo	acrobacia
cofre	relicário
incongruente	inconveniente
desforçar-se	vingar-se
avelhacar	vulgarizar
aluar-se	alucinar-se
reprovativo	reprovador
estuporar	perder
desembargar	favorecer
malparir	perder
sideral	sidérico
príncipe	princeps
fertilizador	fertilizante
achincalhamento	escárnio
gemer	suportar
algoz	carrasco
havana	castanho-claro
pespego	trambolho
asselvajar-se	embrutecer-se
ardimento	destemor
indubitável	irrefragável
ressonar	retroar
dependência	disposição
monitor	decurião
erradicante	erradicativo
ausentar-se	deixar
abolição	revogação
ditado	rifão
década	decênio
espículo	pua
usuário	utente
redourar	redoirar
mal-ensinado	mazorral
empreitada	tarefa
heresia	blasfêmia
bem-parecido	bonito
asseverativo	afimador
louquice	maluquice
bafego	zéfiro
jazente	jacente
jecoral	jecorário
paparicho	quitute
controversista	polemista
desabrigar	desamparar
vacínico	vacinal
utensílio	utilidade
invalidar	resilir
postulação	requerimento
esgravetear	palitar
quotidianidade	uniformidade
ervanário	herbanário
cabuetar	entregar
regato	regueiro
acoberto	coberto
volúpia	voluptuosidade
astilha	estila
concitar	reprurir
flagelante	flagelativo
sobrevir-se	suceder-se
milionocracia	plutocracia
bago	grão
superexcitado	sobreexcitado
senil	caduco
sobreaquecido	superaquecido
paspalho	títere
enraivecimento	espumejo
cupão	cupom
especialidade	individualidade
colo	regaço
bedém	badém
celebrante	celebrador
perspirar	vislumbrar
sabuloso	arenoso
parentesco	sanguinidade
fluidificador	fluidificante
estriçar	minuciar
aquilonar	setentrional
alvadio	entrebranco
avejão	visagem
parlatório	palratório
fecundez	fertilidade
dote	talento
perimétrico	perimetral
parvo	tolo
desacasalar	descasalar
amaro	amaroso
estipêndio	salário
acidental	eventual
frígido	glacial
preito	tributo
desferrado	despregado
limite	linda
açougueiro	magarefe
mundanismo	materialismo
eiva	fenda
sonhoso	sonhador
cortesia	delicadeza
seriedade	sisudeza
emaranhar-se	enlear-se
repreender	trautear
lavoso	lávico
finidade	finitude
desconsiderar-se	desmerecer-se
endossante	endossador
arrasado	devastado
feder	tresandar
dístico	rótulo
expungido	extinto
merenda	viático
repercutível	ecoável
mastigar	zavar
palmatoar	palmatoriar
perjuro	feperjuro
altívolo	altivolante
perder-se	soçobrar
escuso	suspicaz
estimuloso	irritante
agrumular	solidar
reembolso	ressarcimento
estertoroso	estertorante
zungu	cortiço
avental	guarda-pó
acalcanhado	calcado
arcano	secreto
espreitar	indagar
embeiçar-se	namorar-se
riso	sorriso
derrancado	desgarrado
substanciado	sumário
inspirar	sugerir
catanada	espadada
mourejado	moirejado
quefazer	quefazeres
batoré	baé
poluidor	poluente
imortal	perene
elucidar	explicar
incógnita	xis
vômico	vomífico
vaguejar	zaranzar
motinação	sublevação
desorientação	estonteamento
aperaltado	aperalvilhado
airado	resfriado
intercalar-se	mesclar-se
encarrancado	nuvioso
arborícola	dendrícola
dissimetria	desproporção
fictício	fingido
acachapamento	encolhedela
dilapidado	esbanjado
açorado	apetitoso
supradivino	sobredivino
coturnado	acoturnado
liame	nó
gozação	graça
amarescente	amaroso
empacotamento	ensaque
farrapo	molambo
homogenizar	igualar
eletrizador	eletrizante
rajada	rabanada
moço	rapaz
conscrição	engajamento
obsedante	obsediante
patético	tocante
infamado	manchado
aclamante	aclamador
epilético	epiléptico
nomeada	renome
ninhar	nidificar
malbaratado	perdido
desempenhar-se	sair-se
ouriçar	enoiriçar
extraviado	transviado
satirista	satírico
apresentado	mostrado
secretar	tossir
dicionarizar	vocabularizar
revigorado	robustecido
letrear	soletrar
flanco	través
indústria	trabalho
versejar	versificar
inadvertido	desadvertido
embalsamar-se	enfrascar-se
adquisito	aquisito
passionário	passioneiro
desmesurar-se	desmoderar-se
abrigado	amparado
sanscritólogo	sanscritologista
sincopar	sincopizar
acatarrado	encatarroado
circunstanciado	pormenorizado
oficial	oficializado
cadeixo	negalho
aprender	educar-se
cuspir	impetar
solfatara	sulfureira
quebradura	quebramento
romântico	romanesco
provisão	riqueza
ledor	legente
inverso	oposto
indiciador	indiciante
retumbante	ruidoso
untadura	untura
eurissomo	eurissomático
apatetado	tolo
manteiguento	untuoso
tricolina	tricoline
afrontar-se	pejar-se
tártaro	tátaro
antes	mais
invectivador	invectivista
reconcentração	união
argumentar	renhir
reputar	suputar
concertar-se	dar-se
salamalaque	zumbaia
cravinoso	cravinhoso
quarterão	quadrum
pica-pau	lazarina
cometer	interprender
chorrar	golfar
alcalizado	alcalinizado
eumatia	subtilidade
pormenorizar	circunstanciar
dintel	lintel
pastorar	pastorear
sádico	sadista
sozinho	único
inflamação	deflagração
solução	terminação
zarelho	ziguezigue
dispersar-se	estourar
embuste	embustice
incitado	provocado
locar	situar
recavém	requebém
gandaia	noutada
vice-reitorado	vice-reitoria
versaria	versalhada
preleção	dissertação
aprovativo	aprobatório
dessensibilização	insensibilização
instalar	receber
charola	nicho
fraudar	tolher
meteorizar	sublimar
elogioso	laudativo
desguardar	desprecaver
desenterramento	exumação
facear	esquadriar
arrazoar	especular
escrevinhador	escrevinhante
ampular	ampuliforme
descabelar-se	tiranizar-se
desgraçar	desvirgar
superficialismo	superfluidade
sangradouro	sumidouro
reagir	repulsar
ascoso	nauseante
procurado	buscado
desbravejar	mondar
tecelagem	urdidura
escondimento	ocultação
cotanoso	cotanilhoso
difusamente	largamente
magérrimo	macérrimo
desgregar	erradicar
perpassável	tolerável
provável	verossímil
beatice	beatismo
enganar	pantominar
engrilar	perfilar
remanescente	resíduo
pisa	surra
incaracterizável	incaraterizável
aviar	despedir
civilizar-se	domesticar-se
avultado	corpudo
calorosamente	entusiasticamente
pasmoso	surpreendente
conservação	salvaguarda
entornadura	extravasamento
ralação	raleira
zuir	zunzunar
dilapidador	prodigalizador
inexprimível	intraduzível
reproduzir	tomar
desenodoar	desnodoar
igualado	irmanado
pejamento	vexame
coordenação	encadeação
conservantismo	conservadorismo
galante	garboso
ensinar	indicar
vara	varola
compor-se	organizar-se
pisantes	pés
afagueirante	amimador
contradito	desmentido
constringente	constritor
imprecisamente	indeterminadamente
derrengue	rebolado
acaipirado	amatutado
aderido	adeso
portador	vetor
cometário	cometar
renovar-se	revigorar-se
empalidecido	enlividecido
retomada	reconquista
obeso	rotundo
gázeo	verdoengo
condizente	condicente
afresco	fresco
ressaltar	sobressair
descomedido	desenfreado
aurora	dilúculo
fidedignidade	fiabilidade
tranca-ruas	turuna
prolongamento	protraimento
intuitivo	óbvio
elanguescido	enfraquecido
mesada	pensão
redivivo	ressurrecto
abotoador	abotoadeira
asserção	certificação
embebimento	infiltração
desparramar	esparralhar
desgarrão	esgarrão
sepultado	sepulto
andrajo	farrapo
rei	monarca
enloiçar	envasilhar
saporífero	saporífico
furtivamente	surdamente
satisfazer	triunfar
pilão	almofariz
chamariz	reclamo
enjerizar-se	envinagrar-se
ribeiro	veio
despregado	esfraldado
acedência	assenso
desnevar	desgelar
envanecer-se	inflar-se
embrulhado	empacotado
estafante	fadigoso
quirológico	datilológico
afracar	afrouxar
inflexão	verbo
avença	combinação
tarô	taró
surrealista	super-realista
bem-ouvido	submisso
abegão	campônio
surpreso	tolo
pasmar	surpresar
fundamentador	alicerçador
exculpar-se	justificar-se
alisado	polido
narcisismo	auto-admiração
enlevar	envolver
não-alinhado	não-engajado
bufador	vaníloquo
bastardear	degenerar
diorâmico	dioramático
impingir	rodilhar
caxinguento	fedegoso
eqüipolência	eqüivalência
embromeiro	enganador
bronzear-se	tostar-se
metediço	xereta
trífido	trigêmino
sopesar	ver
sufragista	votante
embaralhar-se	entremisturar-se
bradante	exclamador
aquário	aqüígeno
consideração	deferência
voadura	vôo
cavalgar	cavaloar
erguer-se	suspender-se
genuflector	genufletor
conturbado	revoltado
aposta	jogo
bímano	bímane
iterar	voltar
miadela	mio
peralta	peralvilho
saque	serviço
impugnado	refutado
desposar	receber-se
sanável	curável
flamante	rebrilhoso
detecção	descoberta
desencarregado	desobrigado
dirimir	suprimir
desnudamento	revelação
reaparecer	ressuscitar
engrunhir	torpecer
arraçar	castear
aconchegar-se	encolher-se
sanguinidade	sangüinidade
abalizado	consumado
torpente	tórpido
desconcordante	desconcorde
estilhaçar	estilhar
acobertado	encoberto
achegadeira	fofoqueira
obliterador	obliterativo
toldo	ensombro
mastim	quadrilheiro
engravatizar-se	engravatar-se
apetitar	estimular
malsatisfeito	descontente
arregalar-se	esbugalhar-se
enfastiamento	fatigamento
descamado	escamado
empachado	empanzinado
inane	nugativo
obscuro	trevoso
casca-de-noz	jangada
ameno	moderado
uliginoso	alagoso
pavoneamento	emplumação
bargantear	bragantear
irreplicável	irrespondível
abjudicante	abjurgador
savoir-faire	tropelia
destroçado	dispersado
apoteose	glorificação
feérico	maravilhoso
receitado	prescrito
desmazeladamente	relaxadamente
túrbido	turvo
amulatado	baio
trecho	espaço
paraninfo	padrinho
resplendecer	ressaltar
lauretano	louretano
roceiro	tabaréu
enorme	gigante
requintar-se	sazonar-se
fero	terrorizante
embarrear-se	entijucar-se
desfruir	gostar
pisadela	pisão
ramadão	ramadã
inséctil	insétil
livrar-se	pisgar-se
definitivo	terminante
amaciar	quebrar
abafativo	abochornador
sarjador	sarjadeira
curar-se	guarir-se
fervura	efervescência
alforria	emancipação
coruto	topo
favorecido	patrocinado
reprimidor	repressório
alcatifar	vestir
arruinar	avariar
estilo	modo
envolvedor	envolvente
desafazer	desavezar
comunicar-se	contatar
enquizilar	incomodar
reptação	repto
maravilhamento	pasmo
condolente	pio
doutorar-se	encapelar-se
desencravado	descravado
oprimido	subjugado
lascar-se	rachar-se
grafia	ortografia
quadriplégico	tetraplégico
viso	rabeira
afiar	esmerilar
satisfação	saturação
afinidade	intimidade
avulsão	extração
impersonalidade	impessoalidade
esplendecência	fulgor
rastejante	rastejador
infeccionado	infectado
surpreender	suspeitar
pardo	fusco
amicíssimo	amiguíssimo
remergulhar	entranhar
vítreo	vidrado
derrelição	desamparo
panorama	perspetiva
taimado	velhaco
corruptivo	corrupto
comperto	descoberto
contador	relógio
rígido	sólido
irresponsabilidade	inconsciência
insurrecionar	motinar
puro	virgem
aturdir	enzonzar
demonstrar	reproduzir
fingimento	teatro
supremo	extremado
algarismo	cifra
noticiar	reportar
embaraço	engasgamento
recompilador	recopilador
farisco	farejo
acessibilidade	comunicabilidade
picoso	picante
abjungir	subjugar
babélico	disperso
diretiva	linha
hitleriano	hitlerista
extinguir-se	resolver-se
batalhado	pelejado
revivescimento	revivificação
planeador	planejador
terçado	sabre
bicéfalo	dicéfalo
gral	pilão
engraxadela	lustradela
sub-rogador	sub-rogante
aberém	abarém
danificar-se	inutilizar-se
mutilador	estropiador
enroscar	estreitar
retardar-se	retrasar-se
estadia	permanência
vindimadura	vindima
compartilhar	comungar
derrengar-se	esbamboar-se
recolocar	repor
reboleiro	reboleira
desafinar	descombinar
impertinente	inoportuno
espontear	espontar
calcanhar	couce
irracional	irracionável
consonantal	consonântico
magia	mágica
desmouta	desbaste
tabulado	sobrado
cendrado	purificado
lutuoso	negro
desconchavo	disparate
escalação	escalonamento
sarapilheira	sarrapilheira
lamber-se	delamber-se
unidamente	ligadamente
meneável	maleável
inteiriçamento	retesamento
chuvinha	zimbro
inventariante	inventariador
congratulação	felicitação
recalcitração	tineta
esboço	minuta
branqueado	caleado
calçado	escorado
alimpador	limpador
excomungação	excomunhão
encourar	encoirar
abadejo	abadiva
desfiladeiro	passo
cenagoso	obsceno
desobrigado	isento
maciço	sólido
mulher-de-má-nota	prostituta
grilhão	grilheta
bonitote	bonitete
resolutivo	resolvente
sazonamento	maturação
folgazar	jubilar-se
supranaturalismo	supernaturalismo
solitariamente	isoladamente
vituperar	ignominiar
aréola	resplandor
atrás	detrás
regelador	regelante
litorina	automotriz
esquivo	fugitivo
escasso	minguado
captar	produzir
perigar	periclitar
esmoer	moer
rasoura	rasoira
abendiçoante	abençoante
protelar	tardar
badana	pelanga
regelado	solidificado
trilìngüe	trigloto
consórcio	matrimônio
trôpego	zopeiro
esmigalhar-se	migalhar-se
encafurnar-se	refugiar-se
contextura	traça
isolação	isolamento
candente	nitente
defluir	proceder
algazarra	babel
internamente	intrinsecamente
competente	gabaritado
turvar	volver
impacto	impressão
parcialidade	proteção
seresteiro	serenatista
descansar	poisar
prenda	talento
colaborar	entrar
arrecear-se	tremer-se
louvabilidade	laudabilidade
pilhagem	razia
escolher	seletar
zooterapêutica	zooterapia
gasificar	vaporizar
extrair	intuir
pedroso	saxoso
abandeirar	embandeirar
judicial	judiciário
inaccessibilidade	inacessibilidade
esplendecer	flamejar
alistar	relacionar
azagaia	zagaia
browser	navegador
desforçado	vingado
inamovibilidade	indemissibilidade
fatalidade	mortalidade
desassociado	desconjunto
prudência	tento
pirueta	reviravolta
intátil	intocável
validação	corroboração
alvíssaras	recompensação
ultrafabuloso	ultrafantástico
cineração	incineração
abastonar-se	arrimar-se
ribanceira	ribeira
impregnado	repassado
